mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla,season_autumn,season_spring,season_summer,season_winter,size_large_,size_medium,size_small_,speed_high__,speed_low___,speed_medium
8.2,9.5,2.2,0.672,10.0,3.8,6.2,0.8,0,0,1,0,1,0,0,0,0,1
8.06,8.3,38.902,3.678,627.27301,205.636,219.909,6.209,1,0,0,0,1,0,0,0,1,0
8.2,9.4,45.273,7.195,345.45499,144.0,287.0,9.882,0,0,0,1,0,1,0,0,0,1
7.3,9.9,16.0,4.82,101.667,14.667,85.0,2.0,0,0,0,1,1,0,0,1,0,0
7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5,0,1,0,0,0,0,1,1,0,0
8.6,10.6,208.364,4.459,197.909,87.333,194.10001,27.618,0,1,0,0,1,0,0,0,0,1
8.2,11.3,7.25,1.875,25.0,6.5,26.0,0.3,0,1,0,0,0,1,0,1,0,0
8.3,9.7,10.556,1.921,65.556,61.556,127.222,5.233,0,1,0,0,0,1,0,1,0,0
8.43,9.9,37.6,0.826,124.0,32.5,115.0,11.7,0,0,0,1,0,1,0,0,1,0
8.3,7.7,50.0,8.543,76.0,264.89999,344.60001,22.5,0,0,0,1,0,0,1,1,0,0
8.5,11.8,7.838,1.732,206.53799,8.692,16.662,2.1,0,0,1,0,0,1,0,1,0,0
7.77,10.7,12.536,3.976,58.5,9.0,44.136,3.0,0,0,1,0,0,0,1,1,0,0
8.4,8.4,17.375,3.833,83.75,53.625,79.75,2.338,1,0,0,0,1,0,0,0,0,1
7.6,6.0,53.0,3.734,914.0,137.60001,254.60001,4.3,0,0,0,1,0,1,0,0,0,1
7.4,10.7,11.818,2.163,170.909,36.909,122.0,5.555,0,0,0,1,0,1,0,1,0,0
7.74,9.6,5.0,1.223,27.286,12.0,17.0,41.0,0,0,0,1,0,0,1,1,0,0
9.7,10.8,0.222,0.406,10.0,22.444,10.111,,0,0,0,1,0,1,0,1,0,0
8.05,10.6,59.067,4.99,205.66701,44.667,77.434,6.9,1,0,0,0,0,0,1,1,0,0
7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9,1,0,0,0,0,0,1,1,0,0
7.6,6.3,81.333,9.715,196.66701,77.333,147.83299,3.0,0,1,0,0,0,1,0,0,1,0
8.25,13.1,65.75,9.248,430.0,18.25,56.667,28.4,0,0,0,1,0,0,1,1,0,0
8.3,8.9,20.625,3.414,228.75,196.62,253.25,12.32,0,0,0,1,0,0,1,0,0,1
8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40.0,0,0,0,1,0,1,0,0,0,1
9.5,5.7,44.0,0.102,146.66701,151.33299,252.5,93.683,0,1,0,0,1,0,0,0,1,0
8.22,8.1,41.25,1.415,172.5,46.667,123.333,30.4,0,0,0,1,0,1,0,1,0,0
8.1,6.2,51.113,5.099,175.0,132.5,197.14301,6.4,0,0,1,0,0,1,0,0,0,1
7.45,11.7,8.69,1.588,18.429,10.667,19.0,0.6,0,0,1,0,0,0,1,1,0,0
8.55,11.0,22.32,3.14,82.1,45.9,101.455,18.33,1,0,0,0,1,0,0,0,1,0
8.84,12.9,43.09,0.846,52.2,8.6,46.438,81.54,1,0,0,0,1,0,0,0,1,0
8.35,8.0,57.75,1.288,370.0,428.75,558.75,1.3,0,1,0,0,0,0,1,0,0,1
8.87,11.0,41.163,2.273,54.75,39.0,72.696,22.7,1,0,0,0,0,1,0,1,0,0
7.5,9.2,11.0,3.31,101.0,26.6,108.0,1.3,0,0,0,1,0,1,0,1,0,0
8.1,8.1,136.0,3.773,245.0,136.75,249.25,20.87,0,0,0,1,0,1,0,0,0,1
7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9,0,0,0,1,0,0,1,0,0,1
7.3,10.5,11.088,1.374,92.375,48.625,66.75,3.3,0,0,1,0,0,1,0,1,0,0
8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8,0,0,0,1,0,0,1,1,0,0
8.0,12.1,66.3,4.535,39.0,16.0,39.0,0.8,1,0,0,0,0,0,1,1,0,0
7.9,6.0,127.833,2.68,176.66701,27.5,76.333,2.1,0,1,0,0,0,1,0,0,0,1
7.8,10.53,100.83,5.41,486.5,24.0,58.374,27.5,1,0,0,0,0,1,0,0,0,1
8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8,0,0,0,1,0,0,1,1,0,0
7.09,8.4,10.5,1.572,28.0,4.0,13.6,0.5,0,0,0,1,0,0,1,1,0,0
8.47,9.0,46.167,2.102,84.667,48.0,116.2,7.3,0,0,0,1,0,1,0,1,0,0
8.8,8.5,53.333,5.132,96.667,120.5,232.83299,31.0,0,0,0,1,0,1,0,1,0,0
8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5,0,1,0,0,0,1,0,0,0,1
8.5,10.5,56.717,0.33,215.714,23.0,138.5,20.829,1,0,0,0,0,1,0,0,1,0
8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3,0,1,0,0,0,0,1,1,0,0
8.6,3.6,50.0,0.376,134.0,54.1,125.8,26.8,0,1,0,0,1,0,0,0,1,0
8.9,4.5,57.75,0.267,155.0,97.333,235.66701,98.817,0,1,0,0,0,1,0,0,1,0
7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2,0,0,1,0,0,1,0,0,0,1
8.5,7.9,12.444,2.586,96.667,19.111,61.444,6.167,0,0,1,0,1,0,0,0,0,1
8.56,8.7,43.97,4.053,643.0,221.89999,246.66701,14.7,0,0,0,1,1,0,0,0,1,0
7.9,9.0,5.273,0.91,33.636,9.0,11.818,0.8,0,1,0,0,0,0,1,1,0,0
8.7,7.4,47.778,2.316,38.111,24.667,201.778,3.0,0,0,0,1,0,1,0,0,1,0
7.7,4.4,53.0,2.31,90.0,22.2,116.2,16.0,0,0,1,0,0,1,0,1,0,0
8.4,8.2,23.25,2.805,43.75,51.125,87.125,14.775,0,0,1,0,1,0,0,0,1,0
7.0,12.1,3.136,1.208,16.2,1.8,2.5,0.5,0,0,1,0,0,0,1,1,0,0
7.4,8.9,13.5,5.442,123.333,27.667,104.0,21.0,0,0,0,1,0,1,0,1,0,0
8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8.957,0,1,0,0,0,0,1,0,0,1
7.29,11.21,17.75,3.07,35.0,13.0,20.812,12.1,1,0,0,0,0,0,1,0,0,1
8.4,4.9,47.0,0.536,91.833,109.0,188.66701,32.0,0,1,0,0,0,1,0,1,0,0
8.4,10.6,19.22,1.655,96.833,20.667,54.916,20.6,1,0,0,0,1,0,0,0,1,0
8.5,8.1,38.125,3.85,225.0,45.0,152.33299,5.2,1,0,0,0,0,1,0,0,0,1
8.0,7.6,,,,,,,0,0,0,1,1,0,0,0,0,1
8.4,10.5,12.182,1.519,65.455,19.727,50.455,8.155,0,0,0,1,1,0,0,0,0,1
8.1,11.7,35.66,5.13,46.5,49.0,88.5,2.5,1,0,0,0,0,1,0,0,0,1
8.6,11.62,1.549,0.445,25.833,16.833,18.293,1.4,0,0,1,0,0,1,0,1,0,0
6.6,11.3,,4.17,10.0,1.0,6.0,,1,0,0,0,0,0,1,0,0,1
8.15,10.3,73.25,1.535,110.0,61.25,111.75,3.2,0,0,1,0,0,0,1,1,0,0
8.5,10.5,2.75,0.758,10.5,4.0,7.654,4.0,0,0,0,1,1,0,0,0,0,1
8.06,9.0,55.35,10.416,233.7,58.222,97.58,10.5,1,0,0,0,0,0,1,0,0,1
8.7,11.7,22.455,3.765,88.182,41.3,85.4,17.491,0,0,0,1,1,0,0,0,1,0
5.6,11.8,,2.22,5.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,1
8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2,0,0,1,0,0,0,1,0,0,1
8.1,10.7,94.405,4.698,153.0,191.75,265.25,7.3,0,0,1,0,0,1,0,0,0,1
8.0,5.5,77.0,6.096,122.85,143.71001,296.0,3.7,0,0,0,1,0,0,1,0,0,1
8.7,3.4,21.95,0.886,102.75,36.3,71.0,5.544,0,0,0,1,0,0,1,0,0,1
8.1,7.1,42.636,5.078,56.364,166.72701,262.72699,17.2,0,1,0,0,0,1,0,0,0,1
7.7,5.3,65.333,2.899,371.11099,51.111,183.66701,17.2,0,0,0,1,0,1,0,0,1,0
7.9,11.8,63.51,4.94,137.0,159.5,218.0,6.5,0,0,1,0,0,1,0,1,0,0
8.1,10.7,3.5,1.013,12.5,12.75,11.0,0.6,0,1,0,0,1,0,0,1,0,0
8.3,10.0,3.86,0.866,32.0,6.0,16.0,2.86,0,0,1,0,1,0,0,0,0,1
7.7,7.1,63.625,3.14,122.5,28.625,186.5,30.0,0,0,0,1,0,1,0,0,0,1
7.93,9.9,8.0,1.39,5.8,27.25,46.6,0.8,0,0,0,1,0,0,1,1,0,0
7.9,9.6,3.0,1.448,46.2,13.0,61.6,0.3,0,0,0,1,0,0,1,1,0,0
7.44,10.1,2.933,0.77,15.0,1.333,6.0,0.6,0,0,0,1,0,0,1,1,0,0
8.5,7.3,71.444,2.512,66.667,64.389,137.778,9.384,0,1,0,0,1,0,0,0,0,1
8.0,4.5,79.077,8.984,920.0,70.0,200.231,19.4,0,0,0,1,0,1,0,0,1,0
7.35,10.4,7.0,1.718,49.0,41.5,61.5,0.8,0,0,1,0,0,0,1,1,0,0
7.3,11.7,10.4,4.93,130.0,10.8,60.0,4.3,1,0,0,0,0,1,0,1,0,0
8.7,10.7,4.545,0.941,32.727,16.0,21.3,1.1,1,0,0,0,1,0,0,1,0,0
8.3,9.9,40.226,1.587,235.0,33.8,75.207,23.8,1,0,0,0,0,1,0,1,0,0
8.7,10.8,39.109,6.225,161.81799,104.727,228.364,46.075,0,0,0,1,1,0,0,0,1,0
8.1,10.2,7.613,0.699,32.5,26.625,52.875,2.0,0,0,1,0,1,0,0,1,0,0
7.925,10.2,34.037,9.08,109.0,55.0,58.623,11.6,0,0,1,0,0,1,0,0,0,1
6.5,10.4,,5.97,10.0,2.0,14.0,,0,1,0,0,0,0,1,0,0,1
8.4,5.3,74.667,3.9,131.66701,261.60001,432.909,24.917,0,1,0,0,0,1,0,0,1,0
5.7,10.8,,2.55,10.0,1.0,4.0,,1,0,0,0,0,0,1,0,0,1
8.3,10.6,14.32,3.2,125.333,35.333,75.904,4.667,0,1,0,0,1,0,0,0,0,1
7.19,11.7,4.326,1.474,160.0,2.5,7.2,0.3,0,0,1,0,0,0,1,1,0,0
6.6,10.8,,3.245,10.0,1.0,6.5,,0,0,0,1,0,0,1,1,0,0
7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9,0,0,1,0,0,1,0,1,0,0
7.84,9.4,10.975,1.51,12.5,3.0,11.5,1.5,0,1,0,0,0,0,1,1,0,0
7.57,10.8,4.575,1.203,27.5,2.0,6.75,1.0,0,1,0,0,0,0,1,1,0,0
8.58,11.1,23.825,3.617,72.6,51.111,91.111,22.9,1,0,0,0,1,0,0,0,0,1
7.8,9.5,8.3,1.67,34.0,16.8,35.2,1.0,0,1,0,0,0,1,0,1,0,0
8.3,8.8,54.143,7.83,51.429,276.85001,326.85699,11.84,0,1,0,0,0,0,1,1,0,0
9.06,6.35,187.183,3.351,54.778,159.16701,221.278,20.8,0,0,0,1,1,0,0,0,0,1
8.5,7.6,12.778,1.873,17.778,50.889,127.0,24.556,0,1,0,0,1,0,0,0,0,1
8.1,11.4,40.02,5.33,346.66699,125.667,187.05701,15.6,1,0,0,0,0,0,1,0,0,1
6.6,10.8,,2.64,10.0,2.0,11.0,,0,0,1,0,0,0,1,1,0,0
7.4,10.68,22.35,5.414,244.60001,66.4,171.272,3.8,1,0,0,0,1,0,0,1,0,0
7.9,10.5,10.207,2.304,132.25,10.583,23.485,2.0,1,0,0,0,0,1,0,1,0,0
8.53,11.1,63.292,1.726,227.60001,84.3,146.452,21.22,1,0,0,0,1,0,0,0,1,0
8.0,9.7,57.848,0.461,217.75,37.0,86.997,3.0,0,0,1,0,0,1,0,0,0,1
8.7,9.8,5.889,1.534,51.111,9.667,17.333,1.0,0,0,0,1,0,1,0,1,0,0
9.0,6.9,28.333,2.954,76.667,102.333,277.33301,110.456,0,1,0,0,0,1,0,0,0,1
7.9,6.3,101.875,3.978,153.75,51.75,205.875,2.0,0,0,0,1,0,1,0,1,0,0
7.4,11.17,12.146,6.188,89.6,32.0,69.93,3.1,0,0,1,0,0,1,0,1,0,0
7.9,8.3,391.5,6.045,380.0,173.0,317.0,5.5,0,1,0,0,0,1,0,0,0,1
8.5,6.7,82.852,2.8,27.069,64.0,140.517,18.3,0,0,1,0,1,0,0,0,0,1
7.62,8.5,11.867,1.715,208.33299,3.0,27.5,1.7,0,0,0,1,0,0,1,1,0,0
7.4,9.8,11.0,3.235,255.0,38.75,56.667,2.0,0,1,0,0,0,1,0,1,0,0
8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2,1,0,0,0,0,1,0,0,0,1
7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,1,0,0,0,0,0,1,1,0,0
7.5,8.8,58.331,8.688,758.75,104.5,292.625,3.0,0,0,1,0,0,1,0,0,1,0
8.2,7.0,139.989,2.978,60.11,78.333,140.22,31.738,1,0,0,0,1,0,0,0,0,1
7.8,6.0,53.425,0.381,118.571,37.857,102.571,1.2,0,1,0,0,0,1,0,0,0,1
